trip_id,year,month,ym,country,region,n_trip,n_events,year_c
https://www.thesmilingseahorse.com/blog/9th-to-17th-of-december-2023-mergui-archipelago-and-burma-banks-a-dive-adventure,2023,12,2023-12-01,Myanmar,Mergui,85,22,11
https://www.thesmilingseahorse.com/blog/trip-report-29th-october-2024-photo-and-video-clinic-at-burma-banks-with-mike-bartick,2024,10,2024-10-01,Myanmar,Mergui,80,12,12
https://www.thesmilingseahorse.com/blog/trip-report-celebrating-2025-in-mergui-and-burma-banks,2025,1,2025-01-01,Myanmar,Burma Banks,62,11,13
https://www.thesmilingseahorse.com/blog/trip-report-burma-banks-adventure-from-31st-january-to-7th-february-2025,2025,2,2025-02-01,Myanmar,Mergui,54,12,13
https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,2020,1,2020-01-01,Myanmar,Burma Banks,48,8,8
https://www.thesmilingseahorse.com/blog/over-30-guitarfishes-whale-shark-and-giant-frogfish-in-9-days-around-burma-wow,2020,2,2020-02-01,Myanmar,Mergui,47,5,8
https://www.thesmilingseahorse.com/blog/trip-report-exploring-burma-banks-with-mv-smiling-seahorse-23rd-29th-january-2025,2025,1,2025-01-01,Myanmar,Burma Banks,42,14,13
https://www.thesmilingseahorse.com/blog/the-last-but-not-the-worst-trip-of-the-season,2020,3,2020-03-01,Myanmar,Mergui,34,5,8
https://www.thesmilingseahorse.com/blog/trip-report-30th-april-2024-nice-encounters-in-mergui-archipelago,2024,4,2024-04-01,Myanmar,Mergui,31,5,12
https://www.thesmilingseahorse.com/blog/exploring-the-burma-banks7156581,2018,3,2018-03-01,Myanmar,Mergui,25,4,6
