species,slope_mean,slope_q2.5,slope_q97.5,prob_gt0,annual_multiplier_mean
nurse.shark,0.16145516614055103,0.10849323708,0.21465064437999995,1,1.1756453652118408
bluespotted.maskray,0.0502102072767908,-0.0110905766,0.10731578953249998,0.9488888888888889,1.051962795549405
grey-spotted.guitarfish,0.07330227918773417,-0.06343709980000001,0.19380601274999973,0.8793888888888889,1.0783030154276352
whitetip.reef.shark,0.030389429847301013,-0.0361488622925,0.09451900398250002,0.8219444444444445,1.0314247793679892
grey.reef.shark,0.025159429886331755,-0.054852677574999995,0.108334847545,0.7340555555555556,1.026343389241956
blacktip.reef.shark,0.01935086075470845,-0.048125038175,0.08098303677849991,0.7322222222222222,1.0200899090718796
jenkins'.whipray,0.020977819106862722,-0.058443063875,0.09436843932499997,0.7221111111111111,1.0219502603850161
blotched.fantail.ray,0.012624807259141477,-0.03195722105,0.05742289304999999,0.7141111111111111,1.0129641203416557
requiem.shark,0.024671279256961873,-0.07524495521749999,0.1243821370475,0.6973333333333334,1.0262721006156557
ray,0.022519527367787992,-0.08346612075,0.12209858809999999,0.6861111111111111,1.0241201711007484
coral.catshark,0.006170252644241795,-0.092245411925,0.103205547225,0.5554444444444444,1.0073748694405318
shark,0.005325015985870968,-0.10220453976000002,0.10711605842749997,0.5498333333333333,1.0067486060486768
silvertip.shark,-1.8222130726811144e-4,-0.09214079195,0.08683956157499997,0.5048333333333334,1.000812930753524
oceanic.blacktip.shark,-0.005505773158252983,-0.12630991262,0.11022443174249962,0.46455555555555555,0.9962608651778899
bull.shark,-0.003482336050611016,-0.09587930689999999,0.09102633909999994,0.4608888888888889,0.9976099540872507
giant.guitarfish,-0.01550015818082451,-0.1511515054475,0.11253581124499998,0.4081666666666667,0.9867658087031665
cowtail.stingray,-0.016968504348503752,-0.1474463332225,0.10689645459249977,0.39755555555555555,0.9851971769903255
reef.manta,-0.016362156066479356,-0.1270325873,0.08613724450499995,0.37922222222222224,0.9851390040861134
zebra.shark,-0.014360390466013544,-0.0941799685925,0.06978094412499983,0.3600555555555556,0.9866022764052448
tiger.shark,-0.02002360885297442,-0.1315555749,0.09901223887499995,0.3458888888888889,0.9818419536196491
porcupine.ray,-0.022095571412801256,-0.13049358287499999,0.08339941604999998,0.33716666666666667,0.9795575271100393
bowmouth.guitarfish,-0.028184011292681256,-0.1542340234825,0.08867638079999975,0.3219444444444444,0.974011817096898
guitarfish,-0.03036992239988161,-0.13075148635,0.0798775799874998,0.268,0.9714441631997391
white-spotted.wedgefish,-0.03381865617353554,-0.1491003507,0.07575672664999965,0.2668888888888889,0.9682828285895495
mobula.ray,-0.04009225290915082,-0.14727852972500002,0.06482152987499998,0.22016666666666668,0.9620847021125849
ocellated.eagle.ray,-0.025791990266091813,-0.08748351730000001,0.036210810534999915,0.208,0.9750255679546839
whale.shark,-0.04269696534699503,-0.13343678350000002,0.05221071941249994,0.18133333333333335,0.9592626957670803
mangrove.whipray,-0.059831010288768326,-0.17732074069999998,0.05031526974999997,0.1415,0.9434743343899578
brown.banded.bamboo.shark,-0.05827916129318559,-0.164075348025,0.03574977160249989,0.11461111111111111,0.944577050211112
oceanic.manta,-0.04876233066310301,-0.10014301122500001,0.003096371912499942,0.03233333333333333,0.9527402062040876
