scientific_name,converged,note,formula,n_rows,n_detect,n_sites,n_seasons,n_years
Taeniurops meyeni,TRUE,OK,detected ~ year_c + season + dive_site + (1 | trip_id),275,62,19,4,14
Mobula birostris,FALSE,Optimizer convergence code: 1,detected ~ year_c + season + dive_site + (1 | trip_id),275,47,19,4,14
Aetobatus ocellatus,FALSE,Optimizer convergence code: 1,detected ~ year_c + season + dive_site + (1 | trip_id),275,57,19,4,14
Nebrius ferrugineus,TRUE,OK,detected ~ year_c + season + dive_site + (1 | trip_id),275,47,19,4,14
Carcharhinus melanopterus,TRUE,OK,detected ~ year_c + season + dive_site + (1 | trip_id),275,37,19,4,14
Rhinocodon typus,FALSE,Optimizer convergence code: 1,detected ~ year_c + season + dive_site + (1 | trip_id),275,32,19,4,14
Triaenodon obesus,TRUE,OK,detected ~ year_c + season + dive_site + (1 | trip_id),275,26,19,4,14
Neotrygon kuhlii,FALSE,Optimizer convergence code: 1,detected ~ year_c + season + dive_site + (1 | trip_id),275,20,19,4,14
Pateobatis jenkinsii,FALSE,Optimizer convergence code: 1,detected ~ year_c + season + dive_site + (1 | trip_id),275,20,19,4,14
Stegostoma tigrinum,TRUE,OK,detected ~ year_c + season + dive_site + (1 | trip_id),275,17,19,4,14
Rhinobatidae spp,TRUE,OK,detected ~ year_c + season + dive_site + (1 | trip_id),275,11,19,4,14
