scientific_name,best_site,mean_prob_across_seasons,l95_mean,u95_mean
Aetobatus ocellatus,North Twin,0.6007295881443742,NA,NA
Carcharhinus melanopterus,Koh Bida Nok,0.9999999978027232,NA,NA
Mobula birostris,Black Rock,0.657713710465706,NA,NA
Nebrius ferrugineus,Burma Banks,0.7732960573639641,NA,NA
Neotrygon kuhlii,Three Trees,0.7499594840324932,NA,NA
Pateobatis jenkinsii,Mergui Archipelago,0.13551726528328573,NA,NA
Rhinobatidae spp,Koh Chi,3.717533158812942e-4,NA,NA
Rhinocodon typus,Richelieu Rock,0.2500040600398308,NA,NA
Stegostoma tigrinum,Shark Point,0.9999954315992748,NA,NA
Taeniurops meyeni,Western Rocky,0.7283028831188654,0.17206677916011662,0.972379518093666
Triaenodon obesus,Shark Fin Reef,0.751770401386039,NA,NA
