scientific_name,n_rows,n_detect,n_sites_detected,n_trips_detected,n_years_detected
Taeniurops meyeni,358,80,28,64,13
Mobula birostris,358,67,24,63,14
Aetobatus ocellatus,358,64,19,57,12
Nebrius ferrugineus,358,61,14,49,12
Carcharhinus melanopterus,358,39,13,32,9
Rhinocodon typus,358,36,14,34,9
Triaenodon obesus,358,31,13,27,11
Neotrygon kuhlii,358,30,19,25,11
Pateobatis jenkinsii,358,24,13,23,9
Stegostoma tigrinum,358,22,12,18,10
Rhinobatidae spp,358,15,12,14,8
Carcharhinus albimarginatus,358,10,5,10,4
Carcharhinus amblyrhynchos,358,10,7,9,8
Chiloscyllium punctatum,358,10,4,8,7
Galeocerdo cuvier,358,9,5,6,4
Carcharhinus leucas,358,7,3,6,3
Mobula spp,358,7,4,7,6
Carcharhinidae spp,358,5,5,5,4
Atelomycterus marmoratus,358,4,3,4,2
Mobula alfredii,358,4,4,4,2
Rhynchobatus australiae,358,4,3,4,3
Urogymnus asperrimus,358,4,2,4,4
Batidae spp,358,3,3,3,3
Urogymnus granulatus,358,3,3,3,3
Acroteriobatus spp,358,2,1,2,2
Carcharhinus limbatus,358,1,1,1,1
Pastinachus ater,358,1,1,1,1
Rhina ancylostomus,358,1,1,1,1
Rhynchobatus spp,358,1,1,1,1
Selachii spp,358,1,1,1,1
