scientific_name,season,mean_prob_across_sites,l95_mean,u95_mean,season_rank
Aetobatus ocellatus,mid,0.16333380342165452,NA,NA,1
Aetobatus ocellatus,early,0.15824965090595045,NA,NA,2
Aetobatus ocellatus,late,0.1417567428350734,NA,NA,3
Aetobatus ocellatus,other,0.07708803588540551,NA,NA,4
Carcharhinus melanopterus,other,0.15792524538220284,NA,NA,1
Carcharhinus melanopterus,mid,0.10729828759730178,NA,NA,2
Carcharhinus melanopterus,late,0.10351141023982817,NA,NA,3
Carcharhinus melanopterus,early,0.08873850950682835,NA,NA,4
Mobula birostris,mid,0.15366174468721766,NA,NA,1
Mobula birostris,other,0.13163788214035707,NA,NA,2
Mobula birostris,late,0.11802770867612536,NA,NA,3
Mobula birostris,early,0.08254801443961414,NA,NA,4
Nebrius ferrugineus,other,0.164341977577316,NA,NA,1
Nebrius ferrugineus,early,0.1129288074785493,NA,NA,2
Nebrius ferrugineus,mid,0.09789906271501295,NA,NA,3
Nebrius ferrugineus,late,0.058764655941906455,NA,NA,4
Neotrygon kuhlii,late,0.05264750738673745,NA,NA,1
Neotrygon kuhlii,early,0.052638342837711814,NA,NA,2
Neotrygon kuhlii,mid,0.0526368251116527,NA,NA,3
Neotrygon kuhlii,other,1.7218642683155523e-10,NA,NA,4
Pateobatis jenkinsii,early,0.06761085586316674,NA,NA,1
Pateobatis jenkinsii,mid,0.04105475984868097,NA,NA,2
Pateobatis jenkinsii,late,0.011013188803362411,NA,NA,3
Pateobatis jenkinsii,other,1.2050508054602805e-20,NA,NA,4
Rhinobatidae spp,early,1.3958741034969874e-4,NA,NA,1
Rhinobatidae spp,late,7.85032790807802e-5,NA,NA,2
Rhinobatidae spp,mid,2.9293515827911715e-5,NA,NA,3
Rhinobatidae spp,other,3.583601952252161e-11,NA,NA,4
Rhinocodon typus,late,0.15803530555983536,NA,NA,1
Rhinocodon typus,other,1.1556189594367478e-6,NA,NA,2
Rhinocodon typus,early,6.327230313034205e-7,NA,NA,3
Rhinocodon typus,mid,6.164820001291237e-7,NA,NA,4
Stegostoma tigrinum,mid,0.0526410827471338,NA,NA,1
Stegostoma tigrinum,other,0.05263649634595814,NA,NA,2
Stegostoma tigrinum,early,0.052633233397646785,NA,NA,3
Stegostoma tigrinum,late,0.05263269477718619,NA,NA,4
Taeniurops meyeni,early,0.1967346730143564,0.07368518777791276,0.7032371961203222,1
Taeniurops meyeni,other,0.1722910810490097,0.03840552795197908,0.7355054269489265,2
Taeniurops meyeni,late,0.1405290805270085,0.03995446375813613,0.6386612606072802,3
Taeniurops meyeni,mid,0.12951342181150946,0.037203714023911684,0.6085681659323124,4
Triaenodon obesus,mid,0.10526293885246236,NA,NA,1
Triaenodon obesus,early,0.1052629218318523,NA,NA,2
Triaenodon obesus,late,0.1052626102777717,NA,NA,3
Triaenodon obesus,other,5.77393717276658e-4,NA,NA,4
