scientific_name,dive_site,mean_prob_across_seasons,l95_mean,u95_mean,site_rank
Aetobatus ocellatus,North Twin,0.6007295881443742,NA,NA,1
Aetobatus ocellatus,Seafan Forest,0.4946447128243831,NA,NA,2
Aetobatus ocellatus,Koh Bon,0.3487167298630955,NA,NA,3
Aetobatus ocellatus,Richelieu Rock,0.2779592547656391,NA,NA,4
Aetobatus ocellatus,Mergui Archipelago,0.19537130724735052,NA,NA,5
Aetobatus ocellatus,Western Rocky,0.14691998584171612,NA,NA,6
Aetobatus ocellatus,Similan Islands,0.09834436379384355,NA,NA,7
Aetobatus ocellatus,Koh Tachai,0.09753898612581562,NA,NA,8
Aetobatus ocellatus,Koh Chi,0.08802653049835178,NA,NA,9
Aetobatus ocellatus,Surin Islands,0.07427124078939357,NA,NA,10
Aetobatus ocellatus,Shark Cave,0.0657710299333375,NA,NA,11
Aetobatus ocellatus,Burma Banks,0.057180396215210684,NA,NA,12
Aetobatus ocellatus,Black Rock,0.02155997763773542,NA,NA,13
Aetobatus ocellatus,8 Mile Rock,3.298151589555696e-9,NA,NA,14
Aetobatus ocellatus,Shark Point,5.009395993775178e-20,NA,NA,15
Aetobatus ocellatus,Shark Fin Reef,3.32391736098685e-20,NA,NA,16
Aetobatus ocellatus,Koh Bida Nok,3.01845808109356e-20,NA,NA,17
Aetobatus ocellatus,Three Trees,1.2555104767677353e-21,NA,NA,18
Aetobatus ocellatus,Elephant Head Rock,1.1647317560186921e-21,NA,NA,19
Carcharhinus melanopterus,Koh Bida Nok,0.9999999978027231,NA,NA,1
Carcharhinus melanopterus,Shark Point,0.9129255955055776,NA,NA,2
Carcharhinus melanopterus,Koh Tachai,0.2599262031159267,NA,NA,3
Carcharhinus melanopterus,Koh Chi,1.2506979029761007e-4,NA,NA,4
Carcharhinus melanopterus,Surin Islands,2.2034232588463774e-5,NA,NA,5
Carcharhinus melanopterus,Similan Islands,1.945688261240218e-12,NA,NA,6
Carcharhinus melanopterus,Black Rock,1.0126378581180214e-13,NA,NA,7
Carcharhinus melanopterus,Shark Cave,9.838994965172777e-14,NA,NA,8
Carcharhinus melanopterus,Richelieu Rock,5.162028643865407e-15,NA,NA,9
Carcharhinus melanopterus,Burma Banks,1.3947574622876434e-15,NA,NA,10
Carcharhinus melanopterus,Koh Bon,9.468973907853022e-22,NA,NA,11
Carcharhinus melanopterus,8 Mile Rock,3.515434523314143e-24,NA,NA,12
Carcharhinus melanopterus,Mergui Archipelago,1.7789967320328655e-28,NA,NA,13
Carcharhinus melanopterus,North Twin,3.612385466378368e-44,NA,NA,14
Carcharhinus melanopterus,Western Rocky,1.2901069791381259e-45,NA,NA,15
