scientific_name,rank,dive_site,season,prob,l95,u95
Aetobatus ocellatus,1,North Twin,mid,0.6835109539051619,NA,NA
Aetobatus ocellatus,2,North Twin,early,0.6719634254333268,NA,NA
Aetobatus ocellatus,3,North Twin,late,0.6313892780356498,NA,NA
Aetobatus ocellatus,4,Seafan Forest,mid,0.5789229245901136,NA,NA
Aetobatus ocellatus,5,Seafan Forest,early,0.565982476759697,NA,NA
Aetobatus ocellatus,6,Seafan Forest,late,0.5216317055070081,NA,NA
Aetobatus ocellatus,7,Koh Bon,mid,0.4228041166624196,NA,NA
Aetobatus ocellatus,8,North Twin,other,0.41605469520335814,NA,NA
Aetobatus ocellatus,9,Koh Bon,early,0.4099558358177792,NA,NA
Aetobatus ocellatus,10,Koh Bon,late,0.36747945422112815,NA,NA
Carcharhinus melanopterus,1,Koh Bida Nok,other,1,NA,NA
Carcharhinus melanopterus,2,Koh Bida Nok,mid,0.9999999999917192,NA,NA
Carcharhinus melanopterus,3,Shark Point,other,0.9999999998343434,NA,NA
Carcharhinus melanopterus,4,Koh Bida Nok,late,0.9999999993761686,NA,NA
Carcharhinus melanopterus,5,Koh Bida Nok,early,0.9999999918430046,NA,NA
Carcharhinus melanopterus,6,Koh Tachai,other,0.9999912465402157,NA,NA
Carcharhinus melanopterus,7,Shark Point,mid,0.999535531601954,NA,NA
Carcharhinus melanopterus,8,Shark Point,late,0.9661765029464172,NA,NA
Carcharhinus melanopterus,9,Shark Point,early,0.685990347639596,NA,NA
Carcharhinus melanopterus,10,Koh Tachai,mid,0.03913193254520232,NA,NA
Mobula birostris,1,Black Rock,mid,0.7458864906506965,NA,NA
Mobula birostris,2,Black Rock,other,0.6948263370431053,NA,NA
Mobula birostris,3,Black Rock,late,0.6574643917858685,NA,NA
Mobula birostris,4,Black Rock,early,0.5326776223831537,NA,NA
Mobula birostris,5,Koh Tachai,mid,0.4341657326043654,NA,NA
Mobula birostris,6,Koh Bon,mid,0.3919983525108459,NA,NA
