scientific_name,rank,dive_site,season,prob,l95,u95
Taeniurops meyeni,1,Western Rocky,early,0.8004142358513037,0.2550503213093142,0.9791560339935951
Taeniurops meyeni,2,Western Rocky,other,0.7594988006479072,0.14974908661010164,0.9826462010121545
Taeniurops meyeni,3,Western Rocky,late,0.6910260444029587,0.1551371668768528,0.9645898904358009
Taeniurops meyeni,4,Western Rocky,mid,0.6622724515732922,0.12833054184419782,0.9631259469331134
Taeniurops meyeni,5,Shark Cave,early,0.6417879155252911,0.36644834464364207,0.8473219554019134
Taeniurops meyeni,6,Shark Cave,other,0.5852057768260145,0.2053011063264765,0.8851212647776843
Taeniurops meyeni,7,Mergui Archipelago,early,0.5563789490140847,0.3520053779288733,0.7433004066380297
Taeniurops meyeni,8,Shark Cave,late,0.4997919628597191,0.20235374439432927,0.7973774937979969
Taeniurops meyeni,9,Mergui Archipelago,other,0.4968818487369863,0.17169932965125473,0.8247238423191543
Taeniurops meyeni,10,Shark Cave,mid,0.46696938906004476,0.19545236894996781,0.7595717656161574
Taeniurops meyeni,11,Mergui Archipelago,late,0.41156829302662506,0.19027677190257394,0.67551607915858225
Taeniurops meyeni,12,Mergui Archipelago,mid,0.38013649750371725,0.184438269192107,0.6244839661382475
Taeniurops meyeni,13,Burma Banks,early,0.32091152910110904,0.12286202855902961,0.614538536304521
Taeniurops meyeni,14,Koh Bon,early,0.31090834128664185,0.12535492865762152,0.5868398666964054
Taeniurops meyeni,15,Burma Banks,other,0.2712010213045249,0.0568990419377823,0.6965281996606197
Mobula birostris,1,Black Rock,mid,0.7458864906506965,NA,NA
Mobula birostris,2,Black Rock,other,0.6948263370431053,NA,NA
Mobula birostris,3,Black Rock,late,0.6574643917858685,NA,NA
Mobula birostris,4,Black Rock,early,0.5326776223831537,NA,NA
Mobula birostris,5,Koh Tachai,mid,0.4341657326043654,NA,NA
Mobula birostris,6,Koh Bon,mid,0.3919983525108459,NA,NA
Mobula birostris,7,Koh Tachai,other,0.3731126846223766,NA,NA
Mobula birostris,8,Koh Tachai,late,0.3341104303850302,NA,NA
Mobula birostris,9,Koh Bon,other,0.333381287782094,NA,NA
Mobula birostris,10,Koh Bon,late,0.2965674438317576,NA,NA
Mobula birostris,11,Seafan Forest,mid,0.27516203792464183,NA,NA
Mobula birostris,12,North Twin,mid,0.2710710722300178,NA,NA
Mobula birostris,13,Similan Islands,mid,0.2610676622013638,NA,NA
Mobula birostris,14,Koh Tachai,early,0.22956480212680547,NA,NA
Mobula birostris,15,Seafan Forest,other,0.22747932535841295,NA,NA
Aetobatus ocellatus,1,North Twin,mid,0.6835109539051619,NA,NA
Aetobatus ocellatus,2,North Twin,early,0.6719634254333268,NA,NA
Aetobatus ocellatus,3,North Twin,late,0.6313892780356498,NA,NA
Aetobatus ocellatus,4,Seafan Forest,mid,0.5789229245901136,NA,NA
Aetobatus ocellatus,5,Seafan Forest,early,0.565982476759697,NA,NA
Aetobatus ocellatus,6,Seafan Forest,late,0.5216317055070081,NA,NA
Aetobatus ocellatus,7,Koh Bon,mid,0.42280411666241957,NA,NA
Aetobatus ocellatus,8,North Twin,other,0.41605469520335814,NA,NA
Aetobatus ocellatus,9,Koh Bon,early,0.4099558358177792,NA,NA
Aetobatus ocellatus,10,Koh Bon,late,0.36747945422112815,NA,NA
Aetobatus ocellatus,11,Richelieu Rock,mid,0.34239353197702105,NA,NA
Aetobatus ocellatus,12,Richelieu Rock,early,0.3305892512820294,NA,NA
Aetobatus ocellatus,13,Seafan Forest,other,0.31204174444071364,NA,NA
Aetobatus ocellatus,14,Richelieu Rock,late,0.2922629915387236,NA,NA
Aetobatus ocellatus,15,Mergui Archipelago,mid,0.24492172536676535,NA,NA
Nebrius ferrugineus,1,Burma Banks,other,0.9085550294816449,NA,NA
Nebrius ferrugineus,2,Burma Banks,early,0.8193812465998882,NA,NA
Nebrius ferrugineus,3,Burma Banks,mid,0.7756760036285265,NA,NA
Nebrius ferrugineus,4,Mergui Archipelago,other,0.6473343436783626,NA,NA
Nebrius ferrugineus,5,Burma Banks,late,0.5895719497457967,NA,NA
Nebrius ferrugineus,6,Shark Cave,other,0.45917160096308407,NA,NA
Nebrius ferrugineus,7,Mergui Archipelago,early,0.45596076175111133,NA,NA
Nebrius ferrugineus,8,Mergui Archipelago,mid,0.3898049613233198,NA,NA
Nebrius ferrugineus,9,Three Trees,other,0.353581524371075,NA,NA
Nebrius ferrugineus,10,Shark Cave,early,0.27936066779269497,NA,NA
Nebrius ferrugineus,11,North Twin,other,0.2678414613267852,NA,NA
Nebrius ferrugineus,12,Elephant Head Rock,other,0.257158873008603,NA,NA
Nebrius ferrugineus,13,Shark Cave,mid,0.22808560691384866,NA,NA
