scientific_name,eco_group,note
Acroteriobatus spp,Wedgefish_guitarfish,group-level
Aetobatus ocellatus,Resident_or_benthic,arguable mobility
Atelomycterus marmoratus,NA,NA
Batidae spp,Resident_or_benthic,group-level
Carcharhinidae spp,Unresolved_group_level,family/group-level
Carcharhinus albimarginatus,Large_coastal_sharks,NA
Carcharhinus amblyrhynchos,Reef_sharks,mobile reef-associated
Carcharhinus leucas,Large_coastal_sharks,NA
Carcharhinus limbatus,Large_coastal_sharks,NA
Carcharhinus melanopterus,Reef_sharks,NA
Chiloscyllium punctatum,Resident_or_benthic,NA
Galeocerdo cuvier,Large_pelagic,NA
Mobula alfredii,Mobulids,NA
Mobula birostris,Mobulids,NA
Mobula spp,Mobulids,group-level
Nebrius ferrugineus,NA,NA
Neotrygon kuhlii,Resident_or_benthic,NA
Pastinachus ater,Resident_or_benthic,NA
Pateobatis jenkinsii,Resident_or_benthic,NA
Rhina anclyostomus,Wedgefish_guitarfish,NA
Rhinobatidae spp,Wedgefish_guitarfish,family/group-level
Rhinocodon typus,Large_pelagic,NA
Rhynchobatus australiae,Wedgefish_guitarfish,NA
Rhynchobatus spp,Wedgefish_guitarfish,group-level
Selachii spp,Unresolved_group_level,group-level
Stegostoma tigrinum,NA,NA
Taeniurops meyeni,Resident_or_benthic,NA
Triaenodon obesus,Reef_sharks,NA
Urogymnus asperrimus,Resident_or_benthic,NA
Urogymnus granulatus,Resident_or_benthic,NA
