species,genus,species_epithet,scientific_name,group,country,region,dive_site,site_type,sighting_date,year,month,n,ym
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Tachai,site,2012-12-25,2012,12,2,2012-12-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Tachai,site,2025-12-25,2025,12,2,2025-12-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Seafan Forest,site,2012-12-20,2012,12,1,2012-12-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Shark Cave,site,2012-12-28,2012,12,2,2012-12-01
zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark,Myanmar,Mergui,Mergui Archipelago,NA,2012-12-19,2012,12,1,2012-12-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Surin,Richelieu Rock,site,2022-03-08,2022,3,1,2022-03-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Surin,Koh Torinla,site,2020-12-13,2020,12,1,2020-12-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Surin,Richelieu Rock,site,2020-12-13,2020,12,1,2020-12-01
jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Thailand,Surin,Koh Torinla,site,2020-12-12,2020,12,1,2020-12-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Thailand,Surin,Koh Torinla,site,2020-12-12,2020,12,1,2020-12-01
jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Thailand,Surin,Koh Torinla,site,2020-12-12,2020,12,1,2020-12-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Bon,site,2022-04-17,2022,4,1,2022-04-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Similan,Koh Bon,site,2022-04-17,2022,4,1,2022-04-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Similan,Koh Bon,site,2022-04-18,2022,4,1,2022-04-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Bon,site,2022-03-20,2022,3,1,2022-03-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Similan,Koh Bon,site,2022-03-20,2022,3,1,2022-03-01
jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Thailand,Surin,Koh Chi,site,2022-03-16,2022,3,5,2022-03-01
cowtail stingray,Pastinachus,sephen,Pastinachus sephen,ray,Thailand,Similan,Shark Fin Reef,site,2022-03-16,2022,3,1,2022-03-01
bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray,Thailand,Similan,Three Trees,site,2025-02-18,2025,2,1,2025-02-01
bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray,Thailand,Similan,Three Trees,site,2025-02-22,2025,2,3,2025-02-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Similan,Koh Bon,site,2025-02-22,2025,2,3,2025-02-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Surin,Richelieu Rock,site,2022-10-16,2022,10,1,2022-10-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Surin,Richelieu Rock,site,2022-10-17,2022,10,6,2022-10-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Similan,Koh Bon,site,2022-04-23,2022,4,1,2022-04-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Similan,Koh Tachai,site,2022-10-27,2022,10,1,2022-10-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Bon,site,2022-03-25,2022,3,1,2022-03-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Bon,site,2022-03-26,2022,3,1,2022-03-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Similan,Koh Bon,site,2022-03-25,2022,3,1,2022-03-01
guitarfish,Rhinobatidae,spp,Rhinobatidae spp,ray,Thailand,Surin,Koh Chi,site,2021-02-26,2021,2,1,2021-02-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Surin,Richelieu Rock,site,2021-12-27,2021,12,2,2021-12-01
guitarfish,Rhinobatidae,spp,Rhinobatidae spp,ray,Thailand,Surin,Koh Torinla,site,2021-12-27,2021,12,1,2021-12-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Seafan Forest,site,2012-11-15,2012,11,1,2012-11-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Surin,Richelieu Rock,site,2014-01-20,2014,1,1,2014-01-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Surin,Richelieu Rock,site,2020-12-06,2020,12,1,2020-12-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Surin,Surin Islands,NA,2021-03-05,2021,3,1,2021-03-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Similan,Koh Bon,site,2021-03-06,2021,3,1,2021-03-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Thailand,Similan,Koh Bon,site,2021-03-06,2021,3,4,2021-03-01
giant guitarfish,Rhynchobatus,spp,Rhynchobatus spp,ray,Thailand,Surin,Surin Islands,NA,2021-03-05,2021,3,1,2021-03-01
brown banded bamboo shark,Chiloscyllium,punctatum,Chiloscyllium punctatum,shark,Myanmar,Mergui,Submarine,site,2019-10-25,2019,10,1,2019-10-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Myanmar,Mergui,Shark Cave,site,2019-10-26,2019,10,1,2019-10-01
shark,Carcharhinidae,spp,Carcharhinidae spp,shark,Thailand,Phuket,Koh Bida Nok,site,2022-04-09,2022,4,5,2022-04-01
