trip_id,species,genus,species_epithet,scientific_name,group,country,region,dive_site,site_type,sighting_date_raw,n_indiv,sighting_date,year,month,ym,eco_group,note
https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Tachai,site,2012-12-25,2,2012-12-25,2012,12,2012-12-01,Mobulids,NA
https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Tachai,site,2025-12-25,2,2012-12-25,2012,12,2012-12-01,Mobulids,NA
https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Seafan Forest,site,2012-12-20,1,2012-12-20,2012,12,2012-12-01,Resident_or_benthic,arguable mobility
https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Shark Cave,site,2012-12-28,2,2012-12-28,2012,12,2012-12-01,Resident_or_benthic,NA
https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark,Myanmar,Mergui,Mergui Archipelago,region,2012-12-19,1,2012-12-19,2012,12,2012-12-01,Resident_or_benthic,NA
https://www.thesmilingseahorse.com/blog/08-mar-2022-a-cruise-for-photographers-around-richelieu-rock,whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Surin,Richelieu Rock,site,2022-03-08,1,2022-03-08,2022,3,2022-03-01,Large_pelagic,NA
https://www.thesmilingseahorse.com/blog/10th-to-13th-of-december-a-busy-weekend-on-the-andaman-sea,ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Surin,Koh Torinla,site,2020-12-13,1,2020-12-13,2020,12,2020-12-01,Resident_or_benthic,arguable mobility
https://www.thesmilingseahorse.com/blog/10th-to-13th-of-december-a-busy-weekend-on-the-andaman-sea,ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Surin,Richelieu Rock,site,2020-12-13,1,2020-12-13,2020,12,2020-12-01,Resident_or_benthic,arguable mobility
https://www.thesmilingseahorse.com/blog/10th-to-13th-of-december-a-busy-weekend-on-the-andaman-sea,jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Thailand,Surin,Koh Torinla,site,2020-12-12,1,2020-12-12,2020,12,2020-12-01,Resident_or_benthic,NA
https://www.thesmilingseahorse.com/blog/10th-to-13th-of-december-a-busy-weekend-on-the-andaman-sea,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Thailand,Surin,Koh Torinla,site,2020-12-12,1,2020-12-12,2020,12,2020-12-01,Resident_or_benthic,NA
https://www.thesmilingseahorse.com/blog/10th-to-13th-of-december-a-busy-weekend-on-the-andaman-sea,jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Thailand,Surin,Koh Torinla,site,2020-12-12,1,2020-12-12,2020,12,2020-12-01,Resident_or_benthic,NA
https://www.thesmilingseahorse.com/blog/12th-april-2022-lots-of-discoveries-in-splendid-sea-beds,oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Bon,site,2022-04-17,1,2022-04-17,2022,4,2022-04-01,Mobulids,NA
https://www.thesmilingseahorse.com/blog/12th-april-2022-lots-of-discoveries-in-splendid-sea-beds,ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Similan,Koh Bon,site,2022-04-17,1,2022-04-17,2022,4,2022-04-01,Resident_or_benthic,arguable mobility
https://www.thesmilingseahorse.com/blog/12th-april-2022-lots-of-discoveries-in-splendid-sea-beds,whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Similan,Koh Bon,site,2022-04-18,1,2022-04-18,2022,4,2022-04-01,Large_pelagic,NA
