scientific_name,iucn_status,iucn_link,criteria
Acroteriobatus spp,NA,NA,NA
Aetobatus ocellatus,EN,https://www.iucnredlist.org/search?query=Aetobatus%20ocellatus&searchType=species,A2bcd
Atelomycterus marmoratus,NT,https://www.iucnredlist.org/species/41730/124414963,A2cd
Batidae spp,NA,NA,NA
Carcharhinidae spp,NA,NA,NA
Carcharhinus albimarginatus,VU,https://www.iucnredlist.org/species/161526/124499982,A2bd
Carcharhinus amblyrhynchos,EN,https://www.iucnredlist.org/species/39365/173433550,A2bcd
Carcharhinus leucas,VU,https://www.iucnredlist.org/species/39372/2910670,A2bcd
Carcharhinus limbatus,VU,https://www.iucnredlist.org/species/3851/2870736,A2bd
Carcharhinus melanopterus,VU,https://www.iucnredlist.org/species/39375/58303674,A2bcd
Chiloscyllium punctatum,NT,https://www.iucnredlist.org/species/41872/124423551,A2d
Galeocerdo cuvier,NT,https://www.iucnredlist.org/species/39378/2913541,A2bd+3d
Mobula alfredii,VU,https://www.iucnredlist.org/species/195459/214395983,A2bcd+3d
Mobula birostris,EN,https://www.iucnredlist.org/species/198921/214397182,A2bcd+3d
Mobula spp,NA,NA,NA
Nebrius ferrugineus,VU,https://www.iucnredlist.org/species/41835/173437098,A2bcd
Neotrygon kuhlii,DD,https://www.iucnredlist.org/species/116847578/116849874,NA
Pastinachus ater,VU,https://www.iucnredlist.org/species/70682232/124550583,A2d
Pateobatis jenkinsii,EN,https://www.iucnredlist.org/species/161744/124536951,A2cd
Rhina anclyostomus,CR,https://www.iucnredlist.org/species/41848/124421912,A2bd
Rhinobatidae spp,NA,NA,NA
Rhinocodon typus,EN,https://www.iucnredlist.org/species/19488/126673248,A2bd
Rhynchobatus australiae,CR,https://www.iucnredlist.org/species/41853/68643043,A2bd
Rhynchobatus spp,NA,NA,NA
Selachii spp,NA,NA,NA
Stegostoma tigrinum,EN,https://www.iucnredlist.org/species/41878/124425292,A2bcd
Taeniurops meyeni,VU,https://www.iucnredlist.org/species/60162/124445924,A2cd
Triaenodon obesus,VU,https://www.iucnredlist.org/species/39384/173436715,A2bcd
Urogymnus asperrimus,EN,https://www.iucnredlist.org/species/39413/124411670,A2cd
Urogymnus granulatus,EN,https://www.iucnredlist.org/species/161431/124484009,A2cd
