dive_site,n_sightings,dive_site_std,site_type,country,region
Mergui Archipelago,99,NA,NA,NA,NA
Burma Banks,52,NA,NA,NA,NA
Koh Bon,42,NA,NA,NA,NA
Black Rock,34,NA,NA,NA,NA
Richelieu Rock,34,NA,NA,NA,NA
Surin Islands,22,NA,NA,NA,NA
Shark Cave,20,NA,NA,NA,NA
Similan Islands,16,NA,NA,NA,NA
Koh Tachai,13,NA,NA,NA,NA
Silvertip Bank,11,NA,NA,NA,NA
North Twin,9,NA,NA,NA,NA
Rainbow Bank,8,NA,NA,NA,NA
Similan National Park,8,NA,NA,NA,NA
Koh Bida Nok,7,NA,NA,NA,NA
Seafan Forest,7,NA,NA,NA,NA
Shark Fin Reef,7,NA,NA,NA,NA
Surin Island,7,NA,NA,NA,NA
Elephant Head,6,NA,NA,NA,NA
"Narcondam island, Andaman and Nicobar",6,NA,NA,NA,NA
Row Bank,6,NA,NA,NA,NA
Tower Rock,6,NA,NA,NA,NA
8 Mile Rock,5,NA,NA,NA,NA
Shark Point,5,NA,NA,NA,NA
Surin National Park,5,NA,NA,NA,NA
Western Rocky,5,NA,NA,NA,NA
Coral Bank,4,NA,NA,NA,NA
Koh Chi,4,NA,NA,NA,NA
Koh Taa Chai,4,NA,NA,NA,NA
Mergui,4,NA,NA,NA,NA
Roe Bank,4,NA,NA,NA,NA
South Twin,4,NA,NA,NA,NA
Torinla,4,NA,NA,NA,NA
Dendro's Pinnacle,3,NA,NA,NA,NA
Eagle Rock,3,NA,NA,NA,NA
Elephant Head Rock,3,NA,NA,NA,NA
"North Twin, Mergui",3,NA,NA,NA,NA
Submarine,3,NA,NA,NA,NA
"Three Islets, Mergui",3,NA,NA,NA,NA
Andaman,2,NA,NA,NA,NA
Andaman sea (Burma and Thailand),2,NA,NA,NA,NA
Ao Pakkard,2,NA,NA,NA,NA
Ao Pakkard Bay,2,NA,NA,NA,NA
"Elephant Head, Similan",2,NA,NA,NA,NA
Hin Daeng,2,NA,NA,NA,NA
Hin Muang Hin Daeng,2,NA,NA,NA,NA
Kitten City,2,NA,NA,NA,NA
"Koh Chi, Surin National Park",2,NA,NA,NA,NA
Koh Ha,2,NA,NA,NA,NA
Koh Lipe,2,NA,NA,NA,NA
Koh Surin,2,NA,NA,NA,NA
North Ridge,2,NA,NA,NA,NA
Phuket,2,NA,NA,NA,NA
Rainbow Reef,2,NA,NA,NA,NA
"Shark Cave, Mergui",2,NA,NA,NA,NA
Similan National park,2,NA,NA,NA,NA
Square Rock,2,NA,NA,NA,NA
Square rock,2,NA,NA,NA,NA
"Stonehenge, Tarutao National Park",2,NA,NA,NA,NA
Tachai Pinnacle,2,NA,NA,NA,NA
Three Trees,2,NA,NA,NA,NA
Volcano,2,NA,NA,NA,NA
Yellow Rock,2,NA,NA,NA,NA
"3 Trees, Similan",1,NA,NA,NA,NA
8 MIle Rock,1,NA,NA,NA,NA
"8 Miles Pinnacle, Koh Lipe",1,NA,NA,NA,NA
Andaman Sea,1,NA,NA,NA,NA
Andaman and Nicobar Island,1,NA,NA,NA,NA
Ba Wei,1,NA,NA,NA,NA
Bida Nok,1,NA,NA,NA,NA
Black Rock + Western Rocky,1,NA,NA,NA,NA
"Black Rock, Mergui",1,NA,NA,NA,NA
Boonsung wreck,1,NA,NA,NA,NA
Boulder City,1,NA,NA,NA,NA
Cathedral (Mergui),1,NA,NA,NA,NA
Christmas Point,1,NA,NA,NA,NA
Dendro's Peak (Burma),1,NA,NA,NA,NA
Dragon Island (Mergui),1,NA,NA,NA,NA
Eagle's Nest,1,NA,NA,NA,NA
High Rock,1,NA,NA,NA,NA
Hin Meaung,1,NA,NA,NA,NA
Hin Muang,1,NA,NA,NA,NA
"Hin Muang, Hin Daeng",1,NA,NA,NA,NA
Hin meaung,1,NA,NA,NA,NA
Kitten City (Similan),1,NA,NA,NA,NA
Koh Bon Pinnacle,1,NA,NA,NA,NA
Koh Chi (surin),1,NA,NA,NA,NA
Koh Haa,1,NA,NA,NA,NA
Koh Tachai Pinnacle,1,NA,NA,NA,NA
Koh Torinla,1,NA,NA,NA,NA
Lanta National Park,1,NA,NA,NA,NA
Mergui (south),1,NA,NA,NA,NA
Mergui Arichpelago,1,NA,NA,NA,NA
"North Ridge, Ko Bon",1,NA,NA,NA,NA
North point,1,NA,NA,NA,NA
Racha Noi,1,NA,NA,NA,NA
Rocky Point,1,NA,NA,NA,NA
Sea Fan Forest,1,NA,NA,NA,NA
Secret Pinnacle - Mergui,1,NA,NA,NA,NA
Shark Fin Reef (Similans),1,NA,NA,NA,NA
Shark cave,1,NA,NA,NA,NA
Shark point,1,NA,NA,NA,NA
Similan Islands (Christmas Point),1,NA,NA,NA,NA
Similan Islands (Three Tree),1,NA,NA,NA,NA
Similan Islands (Three Trees),1,NA,NA,NA,NA
South Similan,1,NA,NA,NA,NA
"South Twin, Mergui",1,NA,NA,NA,NA
Stonehenge,1,NA,NA,NA,NA
Tarutao National Park,1,NA,NA,NA,NA
Thailand (Andaman),1,NA,NA,NA,NA
"Three Trees, Similan National Park",1,NA,NA,NA,NA
"Tower Rock, Mergui",1,NA,NA,NA,NA
West of Eden,1,NA,NA,NA,NA
"Western Rocky, Mergui",1,NA,NA,NA,NA
"west ridge, Koh Bon",1,NA,NA,NA,NA
