dive_site,dive_site_std,site_type,country,region
"3 Trees, Similan",Three Trees,site,Thailand,Similan
8 MIle Rock,8 Mile Rock,site,Thailand,Koh Lipe
8 Mile Rock,8 Mile Rock,site,Thailand,Koh Lipe
"8 Miles Pinnacle, Koh Lipe",8 Mile Rock,site,Thailand,Koh Lipe
Andaman,Andaman Sea,region,Thailand,Andaman (unspecified)
Andaman Sea,Andaman Sea,region,Thailand,Andaman (unspecified)
Andaman and Nicobar Island,Andaman and Nicobar Islands,region,India,Andaman (unspecified)
Andaman sea (Burma and Thailand),Andaman Sea,region,Thailand,Andaman (unspecified)
Ao Pakkard,Ao Pakkard,site,Thailand,Surin
Ao Pakkard Bay,Ao Pakkard,site,Thailand,Surin
Ba Wei,Ba Wei,site,Myanmar,Mergui
Bida Nok,Koh Bida Nok,site,Thailand,Phuket
Black Rock,Black Rock,site,Myanmar,Mergui
Black Rock + Western Rocky,Black Rock,site,Myanmar,Mergui
"Black Rock, Mergui",Black Rock,site,Myanmar,Mergui
Boonsung wreck,Boonsung Wreck,site,Thailand,Khao Lak
Boulder City,Boulder City,site,Thailand,Similan
Burma Banks,Burma Banks,region,Myanmar,Burma Banks
Cathedral (Mergui),Cathedral,site,Myanmar,Mergui
Christmas Point,Christmas Point,site,Thailand,Similan
Coral Bank,Coral Bank,site,Myanmar,Burma Banks
Dendro's Peak (Burma),Dendro's Pinnacle,site,Myanmar,Mergui
Dendro's Pinnacle,Dendro's Pinnacle,site,Myanmar,Mergui
Dragon Island (Mergui),Dragon Island,site,Myanmar,Mergui
Eagle Rock,Eagle Rock,site,Thailand,Similan
Eagle's Nest,Eagle's Nest,site,Myanmar,Mergui
Elephant Head,Elephant Head Rock,site,Thailand,Similan
Elephant Head Rock,Elephant Head Rock,site,Thailand,Similan
"Elephant Head, Similan",Elephant Head Rock,site,Thailand,Similan
High Rock,High Rock,site,Myanmar,Mergui
Hin Daeng,Hin Daeng,site,Thailand,Koh Lanta
Hin Meaung,Hin Muang,site,Thailand,Koh Lanta
Hin Muang,Hin Muang,site,Thailand,Koh Lanta
Hin Muang Hin Daeng,"Hin Muang, Hin Daeng",site,Thailand,Koh Lanta
"Hin Muang, Hin Daeng","Hin Muang, Hin Daeng",site,Thailand,Koh Lanta
Hin meaung,Hin Muang,site,Thailand,Koh Lanta
Kitten City,Kitten City,site,Thailand,Similan
Kitten City (Similan),Kitten City,site,Thailand,Similan
Koh Bida Nok,Koh Bida Nok,site,Thailand,Phuket
Koh Bon,Koh Bon,site,Thailand,Similan
Koh Bon Pinnacle,Koh Bon,site,Thailand,Similan
Koh Chi,Koh Chi,site,Thailand,Surin
Koh Chi (surin),Koh Chi,site,Thailand,Surin
"Koh Chi, Surin National Park",Koh Chi,site,Thailand,Surin
Koh Ha,Koh Haa,site,Thailand,Koh Lanta
Koh Haa,Koh Haa,site,Thailand,Koh Lanta
Koh Lipe,Koh Lipe,site,Thailand,Koh Lipe
Koh Surin,Koh Surin,region,Thailand,Surin
Koh Taa Chai,Koh Tachai,site,Thailand,Similan
Koh Tachai,Koh Tachai,site,Thailand,Similan
Koh Tachai Pinnacle,Koh Tachai,site,Thailand,Similan
Koh Torinla,Koh Torinla,site,Thailand,Surin
Lanta National Park,Lanta National Park,region,Thailand,Koh Lanta
Mergui,Mergui Archipelago,region,Myanmar,Mergui
Mergui (south),Mergui Archipelago,region,Myanmar,Mergui
Mergui Archipelago,Mergui Archipelago,region,Myanmar,Mergui
Mergui Arichpelago,Mergui Archipelago,region,Myanmar,Mergui
"Narcondam island, Andaman and Nicobar",Narcondam Island,site,India,Andaman (unspecified)
North Ridge,North Ridge,site,Thailand,Similan
"North Ridge, Ko Bon",North Ridge,site,Thailand,Similan
North Twin,North Twin,site,Myanmar,Mergui
"North Twin, Mergui",North Twin,site,Myanmar,Mergui
North point,North Point,site,Thailand,Koh Lipe
Phuket,Phuket,region,Thailand,Phuket
Racha Noi,Racha Noi,site,Thailand,Phuket
Rainbow Bank,Rainbow Bank,site,Myanmar,Burma Banks
Rainbow Reef,Rainbow Bank,site,Myanmar,Burma Banks
Richelieu Rock,Richelieu Rock,site,Thailand,Surin
Rocky Point,Rocky Point,site,Thailand,Similan
Roe Bank,Roe Bank,site,Myanmar,Burma Banks
Row Bank,Roe Bank,site,Myanmar,Burma Banks
Sea Fan Forest,Seafan Forest,site,Myanmar,Mergui
Seafan Forest,Seafan Forest,site,Myanmar,Mergui
Secret Pinnacle - Mergui,Secret Pinnacle,site,Myanmar,Mergui
Shark Cave,Shark Cave,site,Myanmar,Mergui
"Shark Cave, Mergui",Shark Cave,site,Myanmar,Mergui
Shark Fin Reef,Shark Fin Reef,site,Thailand,Similan
Shark Fin Reef (Similans),Shark Fin Reef,site,Thailand,Similan
Shark Point,Shark Point,site,Thailand,Phuket
Shark cave,Shark Cave,site,Myanmar,Mergui
Shark point,Shark Point,site,Thailand,Phuket
Silvertip Bank,Silvertip Bank,site,Myanmar,Burma Banks
Similan Islands,Similan Islands,region,Thailand,Similan
Similan Islands (Christmas Point),Christmas Point,site,Thailand,Similan
Similan Islands (Three Tree),Three Trees,site,Thailand,Similan
Similan Islands (Three Trees),Three Trees,site,Thailand,Similan
Similan National Park,Similan Islands,region,Thailand,Similan
Similan National park,Similan Islands,region,Thailand,Similan
South Similan,Similan Islands,region,Thailand,Similan
South Twin,South Twin,site,Myanmar,Mergui
"South Twin, Mergui",South Twin,site,Myanmar,Mergui
Square Rock,Square Rock,site,Myanmar,Mergui
Square rock,Square Rock,site,Myanmar,Mergui
Stonehenge,Stonehenge,site,Thailand,Koh Lipe
"Stonehenge, Tarutao National Park",Stonehenge,site,Thailand,Koh Lipe
Submarine,Submarine,site,Myanmar,Mergui
Surin Island,Surin Islands,region,Thailand,Surin
Surin Islands,Surin Islands,region,Thailand,Surin
Surin National Park,Surin Islands,region,Thailand,Surin
Tachai Pinnacle,Koh Tachai,site,Thailand,Similan
Tarutao National Park,Tarutao National Park,site,Thailand,Koh Lipe
Thailand (Andaman),Andaman Sea,region,Thailand,Andaman (unspecified)
"Three Islets, Mergui",Three Islets,site,Myanmar,Mergui
Three Trees,Three Trees,site,Thailand,Similan
"Three Trees, Similan National Park",Three Trees,site,Thailand,Similan
Torinla,Koh Torinla,site,Thailand,Surin
Tower Rock,Tower Rock,site,Myanmar,Mergui
"Tower Rock, Mergui",Tower Rock,site,Myanmar,Mergui
Volcano,Shark Cave,site,Myanmar,Mergui
West of Eden,West of Eden,site,Thailand,Similan
Western Rocky,Western Rocky,site,Myanmar,Mergui
"Western Rocky, Mergui",Western Rocky,site,Myanmar,Mergui
Yellow Rock,Yellow Rock,site,Thailand,Similan
"west ridge, Koh Bon",West Ridge,site,Thailand,Similan
