species,sighting_date,dive_site,url,title,excerpt,validation,notes,n_observed,dive_site_std,site_type,country,region,species_std,genus,species_epithet,scientific_name,group
oceanic manta ray,2012-12-25,Koh Tachai Pinnacle,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ding the Christmas tree! What a great atmosphere, good diving, good food, good people, awesome! The Mantas are back ! Manta ray encounter Manta in deep blue sea 25th of December, Christmas day… I wish to ge",valid,NA,2,Koh Tachai,site,Thailand,Similan,oceanic manta,Mobula,birostris,Mobula birostris,ray
Oceanic Manta,2025-12-25,Koh Tachai,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ck ! Manta ray encounter Manta in deep blue sea 25th of December, Christmas day… I wish to get some Mantas for this upcoming dive! We go to Koh Tachai pinnacle. That’s a cleaning station very famous for Man",valid,NA,2,Koh Tachai,site,Thailand,Similan,oceanic manta,Mobula,birostris,Mobula birostris,ray
eagle ray,2012-12-20,Seafan Forest,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","Archipelago 20th of December, after doing 2 dives at the well-known Seafan forest where we found an eagle ray and a school of tunas, we head towards Western Rocky, where we will be able to complete the deep sp",valid,NA,1,Seafan Forest,site,Myanmar,Mergui,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
Blotched fantail ray,2012-12-28,Shark Cave,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ng experience for Romain and Carol-Ann… inside the cave the way is obstructed by 2 massive blotched stingrays, that keep us from going all the way through… “it was a WOW feeling” Romain said. On our 2dn dive t",valid,NA,2,Shark Cave,site,Myanmar,Mergui,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
Zebra shark,2012-12-19,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ntas, requin baleine, requin leopard et guitar hero! On a tout vu... ​Mantas, whale sharks, leopard sharks and guitar heroes! We saw everything ... ""Vraiment une belle croisière, bien dosée à tout point de",valid,NA,1,Mergui Archipelago,region,Myanmar,Mergui,zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark
whale shark,2022-03-08,Richelieu Rock,https://www.thesmilingseahorse.com/blog/08-mar-2022-a-cruise-for-photographers-around-richelieu-rock,08 Mar 2022: a cruise for photographers around Richelieu Rock - Diving liveaboard in Thailand and Myanmar,School of Jacks The highlight for most diver was for sure the surprise visit of a magnificent Whale shark but unfortunately all the photographers went on this dive with a macro lense! So we didn't get any,valid,NA,1,Richelieu Rock,site,Thailand,Surin,whale shark,Rhinocodon,typus,Rhinocodon typus,shark
eagle ray,2020-12-13,Koh Torinla,https://www.thesmilingseahorse.com/blog/10th-to-13th-of-december-a-busy-weekend-on-the-andaman-sea,10th to 13th of December: a busy weekend on the Andaman Sea - Diving liveaboard in Thailand and Myanmar,"aw Kuhl's rays playing in the sand, a massive Jenkins whiptail ray hiding under a rock, and even an eagle ray and fantail ray cruising past. There were also many cute boxfish, whip coral cowries, and garden ee",valid,NA,1,Koh Torinla,site,Thailand,Surin,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
eagle ray,2020-12-13,Richelieu Rock,https://www.thesmilingseahorse.com/blog/10th-to-13th-of-december-a-busy-weekend-on-the-andaman-sea,10th to 13th of December: a busy weekend on the Andaman Sea - Diving liveaboard in Thailand and Myanmar,f to offer a little kiss to an elated diver! The icing on the cake was a quick fly by from a speedy eagle ray during the safety stop of the night dive. the reef was alive with glass fish this week Many thanks,valid,NA,1,Richelieu Rock,site,Thailand,Surin,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
Jenkin's Whipray,2020-12-12,Torinla,https://www.thesmilingseahorse.com/blog/10th-to-13th-of-december-a-busy-weekend-on-the-andaman-sea,10th to 13th of December: a busy weekend on the Andaman Sea - Diving liveaboard in Thailand and Myanmar,"began the 3rd day at Torinla in a veritable ray paradise. Over the course of one dive we saw Kuhl's rays playing in the sand, a massive Jenkins whiptail ray hiding under a rock, and even an eagle ray and",valid,NA,1,Koh Torinla,site,Thailand,Surin,jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray
Blotched Fantail Ray,2020-12-12,Torinla,https://www.thesmilingseahorse.com/blog/10th-to-13th-of-december-a-busy-weekend-on-the-andaman-sea,10th to 13th of December: a busy weekend on the Andaman Sea - Diving liveaboard in Thailand and Myanmar,"ise. Over the course of one dive we saw Kuhl's rays playing in the sand, a massive Jenkins whiptail ray hiding under a rock, and even an eagle ray and fantail ray cruising past. There were also many cute",valid,NA,1,Koh Torinla,site,Thailand,Surin,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
