species,sighting_date,dive_site,url,title,excerpt,validation,notes,n_observed
Oceanic Manta,12/21/2018,NA,https://www.thesmilingseahorse.com/blog/reviews-update,Reviews update... - Diving liveaboard in Thailand and Myanmar,"of course top dives!"" ""Thank you for two fantastic and fun trips. Taking my whale shark, eagle ray, manta ray and harlequin shrimp virginity was nice ;)"" Subscribe for monthly email Schedule and Prices Mor",valid,NA,1
eagle ray,12/21/2018,NA,https://www.thesmilingseahorse.com/blog/reviews-update,Reviews update... - Diving liveaboard in Thailand and Myanmar,"food! And of course top dives!"" ""Thank you for two fantastic and fun trips. Taking my whale shark, eagle ray, manta ray and harlequin shrimp virginity was nice ;)"" Subscribe for monthly email Schedule and Pri",valid,NA,1
whale shark,12/21/2018,NA,https://www.thesmilingseahorse.com/blog/reviews-update,Reviews update... - Diving liveaboard in Thailand and Myanmar,"Top boat! Top food! And of course top dives!"" ""Thank you for two fantastic and fun trips. Taking my whale shark, eagle ray, manta ray and harlequin shrimp virginity was nice ;)"" Subscribe for monthly email Sched",valid,NA,1
Oceanic Manta,05/14/2017,NA,https://www.thesmilingseahorse.com/blog/this-is-the-end,The Smiling Seahorse last trip of the season 2017 - Diving liveaboard in Thailand and Myanmar,"osphere on the boat! It has been a great season, lots of great people met on the way, great diving: mantas, sharks, eagle rays and so so so much more :) Amazing corals and astonishing scenaries ... Special",valid,NA,1
Oceanic Manta,11/29/2014,NA,https://www.thesmilingseahorse.com/blog/this-was-the-best-travel-experience-had-till-today,review from a diver onboard mv thai sea - Diving liveaboard in Thailand and Myanmar,"g trip with awesome dives, nice devoted adorable guides and great ambiance on board! We had whales, mantas, seahorses!! Very good trip, fantastic food! Awesome dives! Very good organization! More reviews in",valid,NA,2
zebra shark,NA,NA,https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-christmas-cruise,"Trip report: North and South Andaman, Christmas 2023 - Diving liveaboard in Thailand and Myanmar","ater adventures with you. Looking forward to more!!! A shy tigertail seahorse, is it smiling? Zebra shark SAY CHEESE!!!! Subscribe for monthly email Schedule and Prices More about diving in Burma Camille F",valid,NA,1
oceanic manta ray,2019,NA,https://www.thesmilingseahorse.com/blog/welcome-to-our-lucky-belgium-charter,Welcome to our lucky Belgium charter ! - Diving liveaboard in Thailand and Myanmar,"Batfishes Barracudas Golden trevallies Emperor fishes Yellow snappers We wanted big, we had big ... Manta, white tips (unfortunately no pictures!), unbelievable number of Jenkins rays ... Jenkins ray We ha",valid,NA,1
white tip reef shark,2019,NA,https://www.thesmilingseahorse.com/blog/welcome-to-our-lucky-belgium-charter,Welcome to our lucky Belgium charter ! - Diving liveaboard in Thailand and Myanmar,"big, we had big ... Manta, white tips (unfortunately no pictures!), unbelievable number of Jenkins rays ... Jenkins ray We had some camouflage stars but our guides could still find them! Crocodile fish S",valid,NA,5
jenkins whipray,2019,NA,https://www.thesmilingseahorse.com/blog/welcome-to-our-lucky-belgium-charter,Welcome to our lucky Belgium charter ! - Diving liveaboard in Thailand and Myanmar,"... Manta, white tips (unfortunately no pictures!), unbelievable number of Jenkins rays ... Jenkins ray We had some camouflage stars but our guides could still find them! Crocodile fish Stone fish In the",valid,NA,4
oceanic manta ray,2019,NA,https://www.thesmilingseahorse.com/blog/welcome-to-the-mantas-parade,Welcome to the Mantas Parade ! - Diving liveaboard in Thailand and Myanmar,o the Mantas Parade !!! 22/2/2019 0 Comments Manta Oh what a wonderful surprise on our last trip! A Manta Parade where we were not expecting them. The lucky spectators of these fantastic moments were over,valid,NA,4
whale shark,2018-03-08,NA,https://www.thesmilingseahorse.com/blog/whale-shark-whale-shark,"Whale shark, whale shark! - Diving liveaboard in Thailand and Myanmar","Blog about diving in Burma and Thailand Whale shark, whale shark! 1/4/2018 0 Comments Sorry for the delay, but following photographic incidents, I coul",valid,NA,1
