species,mean_slope,l95,u95,p_pos,mean_percent_change,l95_percent_change,u95_percent_change,trend
nurse.shark,0.16145516614055103,0.10849323708,0.21465064437999995,1,17.564536521184078,11.459737061722212,23.94288199000049,Increasing
grey-spotted.guitarfish,0.07330227918773417,-0.06343709980000001,0.19380601274999973,0.8793888888888889,7.830301542763526,-6.146684856212664,21.38607868203384,Uncertain
bluespotted.maskray,0.0502102072767908,-0.0110905766,0.10731578953249998,0.9488888888888889,5.196279554940507,-1.1029302866158133,11.32857629659865,Increasing
whitetip.reef.shark,0.030389429847301013,-0.0361488622925,0.09451900398250002,0.8219444444444445,3.1424779367989086,-3.5503294386805657,9.91300507828304,Uncertain
grey.reef.shark,0.025159429886331755,-0.054852677574999995,0.108334847545,0.7340555555555556,2.634338924195609,-5.337540321124611,11.44208440011811,Uncertain
requiem.shark,0.024671279256961873,-0.07524495521749999,0.1243821370475,0.6973333333333334,2.6272100615655707,-7.248374144367658,13.244853886580094,Uncertain
ray,0.022519527367787992,-0.08346612075,0.12209858809999999,0.6861111111111111,2.412017110074848,-8.007774756888294,12.986548758182643,Uncertain
jenkins'.whipray,0.020977819106862722,-0.058443063875,0.09436843932499997,0.7221111111111111,2.195026038501616,-5.676805714371972,9.896457310326134,Uncertain
blacktip.reef.shark,0.01935086075470845,-0.048125038175,0.08098303677849991,0.7322222222222222,2.0089909071879495,-4.698538357911564,8.435250232381213,Uncertain
blotched.fantail.ray,0.012624807259141477,-0.03195722105,0.05742289304999999,0.7141111111111111,1.296412034165573,-3.145198532981692,5.910360325782003,Uncertain
coral.catshark,0.006170252644241795,-0.092245411925,0.103205547225,0.5554444444444444,0.7374869440531763,-8.811866446378808,10.871927982740107,Uncertain
shark,0.005325015985870968,-0.10220453976000002,0.10711605842749997,0.5498333333333333,0.6748606048676823,-9.715513481695805,11.3063427380508,Uncertain
silvertip.shark,-1.8222130726811144e-4,-0.09214079195,0.08683956157499997,0.5048333333333334,0.08129307535241644,-8.802325825037641,9.072167201631768,Uncertain
bull.shark,-0.003482336050611016,-0.09587930689999999,0.09102633909999994,0.4608888888888889,-0.23900459127492377,-9.142633196844269,9.529785404630019,Uncertain
oceanic.blacktip.shark,-0.005505773158252983,-0.12630991262,0.11022443174249962,0.46455555555555555,-0.3739134822110126,-11.865833384478892,11.652862725010078,Uncertain
zebra.shark,-0.014360390466013544,-0.0941799685925,0.06978094412499983,0.3600555555555556,-1.3397723594755255,-8.988104526984984,7.227326784455323,Uncertain
giant.guitarfish,-0.01550015818082451,-0.1511515054475,0.11253581124499998,0.4081666666666667,-1.3234191296833442,-14.028256286387409,11.91123330023056,Uncertain
reef.manta,-0.016362156066479356,-0.1270325873,0.08613724450499995,0.37922222222222224,-1.4860995913886543,-11.929502766687948,8.995590850905332,Uncertain
cowtail.stingray,-0.016968504348503752,-0.1474463332225,0.10689645459249977,0.39755555555555555,-1.4802823009674542,-13.7091253388254,11.281902135464488,Uncertain
tiger.shark,-0.02002360885297442,-0.1315555749,0.09901223887499995,0.3458888888888889,-1.815804638035092,-12.326945042820986,10.407981217534125,Uncertain
porcupine.ray,-0.022095571412801256,-0.13049358287499999,0.08339941604999998,0.33716666666666667,-2.0442472889960754,-12.233787500104293,8.69758774669571,Uncertain
ocellated.eagle.ray,-0.025791990266091813,-0.08748351730000001,0.036210810534999915,0.208,-2.4974432045316126,-8.376602646137725,3.687440751678995,Uncertain
bowmouth.guitarfish,-0.028184011292681256,-0.1542340234825,0.08867638079999975,0.3219444444444444,-2.598818290310198,-14.292857728931912,9.2726971855239,Uncertain
guitarfish,-0.03036992239988161,-0.13075148635,0.0798775799874998,0.268,-2.8555836800260868,-12.25641978863021,8.315445990268,Uncertain
white-spotted.wedgefish,-0.03381865617353554,-0.1491003507,0.07575672664999965,0.2668888888888889,-3.171717141045055,-13.851733915236604,7.870012359705354,Uncertain
mobula.ray,-0.04009225290915082,-0.14727852972500002,0.06482152987499998,0.22016666666666668,-3.7915297887415065,-13.69464420897753,6.6968585375916785,Uncertain
whale.shark,-0.04269696534699503,-0.13343678350000002,0.05221071941249994,0.18133333333333335,-4.073730423291971,-12.491721307179587,5.3597732628984325,Uncertain
oceanic.manta,-0.04876233066310301,-0.10014301122500001,0.003096371912499942,0.03233333333333333,-4.725979379591238,-9.529197461909538,0.3101170632572883,Decreasing
brown.banded.bamboo.shark,-0.05827916129318559,-0.164075348025,0.03574977160249989,0.11461111111111111,-5.542294978888793,-15.132192672892913,3.6396478243683683,Uncertain
mangrove.whipray,-0.059831010288768326,-0.17732074069999998,0.05031526974999997,0.1415,-5.652566561004227,-16.248888244290725,5.160258260491468,Uncertain
