species,sighting_date,dive_site,url,title,excerpt,validation,notes,N_observed
manta,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ding the Christmas tree! What a great atmosphere, good diving, good food, good people, awesome! The Mantas are back ! Manta ray encounter Manta in deep blue sea 25th of December, Christmas day… I wish to ge",not valid,,
manta,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","tree! What a great atmosphere, good diving, good food, good people, awesome! The Mantas are back ! Manta ray encounter Manta in deep blue sea 25th of December, Christmas day… I wish to get some Mantas for",not valid,,
manta,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","atmosphere, good diving, good food, good people, awesome! The Mantas are back ! Manta ray encounter Manta in deep blue sea 25th of December, Christmas day… I wish to get some Mantas for this upcoming dive!",not valid,,
Oceanic Manta,2025-12-25,Koh Tachai,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","ck ! Manta ray encounter Manta in deep blue sea 25th of December, Christmas day… I wish to get some Mantas for this upcoming dive! We go to Koh Tachai pinnacle. That’s a cleaning station very famous for Man",valid,,2.0
manta,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","tas for this upcoming dive! We go to Koh Tachai pinnacle. That’s a cleaning station very famous for Mantas sighting, let’s keep our fingers crossed… As soon as we hit the water, they are there! Finally, tha",not valid,,
manta,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","us passing by again and again, There are so many fish to look at but we can’t get our eyes off the mantas, they are so gracious and so big absolutely fantastic. When the time is up we head towards the moor",not valid,,
manta,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","oh Bon, so we decide to go to Richelieu Rock . Although the dive site is amazing, we still have the mantas in our minds… The rock is covered by reddish soft corals, Huge school of yellow fusiliers make it f",not valid,,
manta,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","photo without a red filter, or everything is monochrome and colorless""... Some great dive sites... ""Manta, seen, Rays, Seen, Seahorse, seen. Some great dive sites, favorite is black Rock."" Mantas, requin b",not valid,,
manta,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","sites... ""Manta, seen, Rays, Seen, Seahorse, seen. Some great dive sites, favorite is black Rock."" Mantas, requin baleine, requin leopard et guitar hero! On a tout vu... ​Mantas, whale sharks, leopard shar",not valid,,
manta,,Richelieu Rock,https://www.thesmilingseahorse.com/blog/-blotched-stingray-vs-nurse-shark,"Explore Myanmar and Thailand, December 2012 - Diving liveaboard in Thailand and Myanmar","s, favorite is black Rock."" Mantas, requin baleine, requin leopard et guitar hero! On a tout vu... ​Mantas, whale sharks, leopard sharks and guitar heroes! We saw everything ... ""Vraiment une belle croisièr",not valid,,
