species,sighting_date,dive_site,url,title,excerpt
ray,,Koh Chi,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar," : Diving in the surin islands   We began our journey in the pristine waters of the Surin National Park with dives showcasing the vibrant marine life of this protected area. The first dive at Koh Chi served as a check dive, where we encountered schools of yellow-lined snappers and yellow fusiliers, ..."
ray,,Koh Chi,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar," : Diving in the surin islands   We began our journey in the pristine waters of the Surin National Park with dives showcasing the vibrant marine life of this protected area. The first dive at Koh Chi served as a check dive, where we encountered schools of yellow-lined snappers and yellow fusiliers, ..."
ray,,Koh Chi,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar," : Diving in the surin islands   We began our journey in the pristine waters of the Surin National Park with dives showcasing the vibrant marine life of this protected area. The first dive at Koh Chi served as a check dive, where we encountered schools of yellow-lined snappers and yellow fusiliers, ..."
ray,,Koh Chi,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar," : Diving in the surin islands   We began our journey in the pristine waters of the Surin National Park with dives showcasing the vibrant marine life of this protected area. The first dive at Koh Chi served as a check dive, where we encountered schools of yellow-lined snappers and yellow fusiliers, ..."
stingray,,Koh Chi,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar," : Diving in the surin islands   We began our journey in the pristine waters of the Surin National Park with dives showcasing the vibrant marine life of this protected area. The first dive at Koh Chi served as a check dive, where we encountered schools of yellow-lined snappers and yellow fusiliers, ..."
stingray,,Koh Chi,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar," : Diving in the surin islands   We began our journey in the pristine waters of the Surin National Park with dives showcasing the vibrant marine life of this protected area. The first dive at Koh Chi served as a check dive, where we encountered schools of yellow-lined snappers and yellow fusiliers, ..."
stingray,,Koh Chi,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar," : Diving in the surin islands   We began our journey in the pristine waters of the Surin National Park with dives showcasing the vibrant marine life of this protected area. The first dive at Koh Chi served as a check dive, where we encountered schools of yellow-lined snappers and yellow fusiliers, ..."
ray,,Koh Bon,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar," : More of the Similan National Park   The day began with a dive at Koh Bon Pinnacle and North Ridge, where the visibility was beautiful, revealing the vibrant underwater life. Divers encountered massive schools of yellow back and neon fusiliers, alongside groupers and sweetlips at the North Ridge. ..."
ray,,Koh Bon,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar," : More of the Similan National Park   The day began with a dive at Koh Bon Pinnacle and North Ridge, where the visibility was beautiful, revealing the vibrant underwater life. Divers encountered massive schools of yellow back and neon fusiliers, alongside groupers and sweetlips at the North Ridge. ..."
stingray,,Koh Bon,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar," : More of the Similan National Park   The day began with a dive at Koh Bon Pinnacle and North Ridge, where the visibility was beautiful, revealing the vibrant underwater life. Divers encountered massive schools of yellow back and neon fusiliers, alongside groupers and sweetlips at the North Ridge. ..."
ray,,West of Eden,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar," : Similan National Park             The morning commenced with a dive at West of Eden, a vibrant site where Simon spotted a rare sea moth and many pretty psychedelic sea slugs! ​ More common but still exciting where sightings of giant trevallies, peacock mantis shrimps, and colourful nudibranchs, w..."
shark,,"High Rock, Shark Cave, Square Rock, Submarine",https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,": A Festive Start to the Adventure                                         Our first dive at High Rock set a remarkable tone for the week ahead. The reef teemed with life, showcasing vibrant cowfish, porcupine puffers, and schools of pickhandle barracuda gliding gracefully through the crystal-clear ..."
shark,,"High Rock, Shark Cave, Square Rock, Submarine",https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,": A Festive Start to the Adventure                                         Our first dive at High Rock set a remarkable tone for the week ahead. The reef teemed with life, showcasing vibrant cowfish, porcupine puffers, and schools of pickhandle barracuda gliding gracefully through the crystal-clear ..."
shark,,"High Rock, Shark Cave, Square Rock, Submarine",https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,": A Festive Start to the Adventure                                         Our first dive at High Rock set a remarkable tone for the week ahead. The reef teemed with life, showcasing vibrant cowfish, porcupine puffers, and schools of pickhandle barracuda gliding gracefully through the crystal-clear ..."
ray,,"High Rock, Shark Cave, Square Rock, Submarine",https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,": A Festive Start to the Adventure                                         Our first dive at High Rock set a remarkable tone for the week ahead. The reef teemed with life, showcasing vibrant cowfish, porcupine puffers, and schools of pickhandle barracuda gliding gracefully through the crystal-clear ..."
ray,,"High Rock, Shark Cave, Square Rock, Submarine",https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,": A Festive Start to the Adventure                                         Our first dive at High Rock set a remarkable tone for the week ahead. The reef teemed with life, showcasing vibrant cowfish, porcupine puffers, and schools of pickhandle barracuda gliding gracefully through the crystal-clear ..."
ray,,"High Rock, Shark Cave, Square Rock, Submarine",https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,": A Festive Start to the Adventure                                         Our first dive at High Rock set a remarkable tone for the week ahead. The reef teemed with life, showcasing vibrant cowfish, porcupine puffers, and schools of pickhandle barracuda gliding gracefully through the crystal-clear ..."
nurse shark,,"High Rock, Shark Cave, Square Rock, Submarine",https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,": A Festive Start to the Adventure                                         Our first dive at High Rock set a remarkable tone for the week ahead. The reef teemed with life, showcasing vibrant cowfish, porcupine puffers, and schools of pickhandle barracuda gliding gracefully through the crystal-clear ..."
shark,,,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,": Big Fish and Bigger Adventures at Burma Bank   The overnight journey took us to the  Burma Banks , where Row Bank awaited. At an average depth of 25 meters, we were greeted by vibrant schools of bignose unicornfish and humpback unicornfish, as well as the majestic presence of nurse sharks—both res..."
shark,,,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,": Big Fish and Bigger Adventures at Burma Bank   The overnight journey took us to the  Burma Banks , where Row Bank awaited. At an average depth of 25 meters, we were greeted by vibrant schools of bignose unicornfish and humpback unicornfish, as well as the majestic presence of nurse sharks—both res..."
shark,,,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,": Big Fish and Bigger Adventures at Burma Bank   The overnight journey took us to the  Burma Banks , where Row Bank awaited. At an average depth of 25 meters, we were greeted by vibrant schools of bignose unicornfish and humpback unicornfish, as well as the majestic presence of nurse sharks—both res..."
shark,,,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,": Big Fish and Bigger Adventures at Burma Bank   The overnight journey took us to the  Burma Banks , where Row Bank awaited. At an average depth of 25 meters, we were greeted by vibrant schools of bignose unicornfish and humpback unicornfish, as well as the majestic presence of nurse sharks—both res..."
shark,,,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,": Big Fish and Bigger Adventures at Burma Bank   The overnight journey took us to the  Burma Banks , where Row Bank awaited. At an average depth of 25 meters, we were greeted by vibrant schools of bignose unicornfish and humpback unicornfish, as well as the majestic presence of nurse sharks—both res..."
ray,,,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,": Big Fish and Bigger Adventures at Burma Bank   The overnight journey took us to the  Burma Banks , where Row Bank awaited. At an average depth of 25 meters, we were greeted by vibrant schools of bignose unicornfish and humpback unicornfish, as well as the majestic presence of nurse sharks—both res..."
ray,,,https://www.thesmilingseahorse.com/blog/previous/2, Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,": Big Fish and Bigger Adventures at Burma Bank   The overnight journey took us to the  Burma Banks , where Row Bank awaited. At an average depth of 25 meters, we were greeted by vibrant schools of bignose unicornfish and humpback unicornfish, as well as the majestic presence of nurse sharks—both res..."
